facility_id,facility_name,facility_type,region_clean,latitude,longitude,capacity,licence_issue_date_clean,inspection_date_clean,remarks
NAN,Smith-Davis Clinic (St.),Community Health Centre,St. George,,,149.0,2020-09-05,2019-12-08,-
NAN,Smith-Davis Clin. (St.),Community Health Centre,St. George,,,149.0,2020-09-05,2019-12-08,-
NAN,Palmer-Smith Clinic (St),,St James,12.83682,-59.00177,119.0,,,Good
NAN,Palmer-Smith Clin. (St),,St James,12.83682,-59.00177,119.0,,,Good
01651,Moreno PLC Polyclinic,Hospital,St. Andrew,12.714444444444444,-58.72916666666667,347.0,2023-07-31,2018-01-03,Reinspection due
1652,Sanchez Inc Health Centre,Community Health Centre,Nhoj .Ts,12.81778,-59.29516,253.0,,,♥
1653,"Porter, Castro and Smith 🏥",CHC,St. John,-58.77694,12.99794,,2024-09-01,,Needs upgrade
#1654,"Jensen Group Infirmary (St.George)
NewLine",,St.George,13.2759,-59.291,47.0,2024-09-30,2020-01-02, 
HF-1655,Stevenson-PLC,Community Health Centre,St. James,,,,2024-01-02,2019-08-03,Good
01656,Booth-Watson,Hosp.,St. Lucy,12.933055555555555,-58.9925,498.0,2022-07-08,2025-05-03,Reinspection due
01657,"Spencer, Davila and Harrington Hosp. (St)",Clinic,St Joseph,12.98038,-59.2199,,,,Needs upgrade
NAN,Vazquez-Evans Hospital,Polyclinic 🏥,St. Michael,-58.94043,13.27205,,2020-08-18,,-
HF-1659,Becker-Bailey Hospital (CHRIST),Polyclinic 🏥,Christ Church,12.88597,-59.13961,254.0,2024-06-21,,Good
HF-1659,Becker-Bailey Hosp. (CHRIST),Polyclinic 🏥,Christ Church,12.88597,-59.13961,254.0,2024-06-21,,Good
D4CED5,Williams-Sparks Health Centre,Clinic🌡️,St. Peter,12.91923,-58.78634,288.0,2025-12-31,2020-04-12,Good
NAN,"Willis, Flores and Davidson Medical Center",Hospital,St. Joseph,12.89761,-58.96898,,2023-10-02,2021-12-28, 
01662,Farrell PLC Health Centre,Clinic🌡️,St.Andrew,12.87673,-59.02281,199.0,2023-05-31,,Reinspection due
NAN,"Ferguson, Cole and Maddox (St.)",Community Health Ctr.,St. Joseph,-59.21538,13.17698,479.0,,2019-08-11,Good
NAN,"Hoffman, Moreno and Galvan Infirmary",Polyclinic,St. Michael,-58.72325,12.74898,370.0,,,Good
1665,Fernandez LLC Infirmary (St.),Clinic,St. Michael,-58.91785,13.23821,,2017-09-21,2019-12-29,Needs upgrade
#1666,"Morrison, Mason and Johnson",Hosp.,St. Peter,12.98152,-58.87615,,2020-01-30,,Needs upgrade
3612C2,Ward Ltd Hosp.,,St. Joseph,,,265.0,2024-02-27,,
D93B54,"Fox, Wilson and Thomas (St.)",Health Centre,St. George,13.22514,-59.09024,330.0,2018-01-21,2023-03-04,Reinspection due
1FEEFD,Nguyen-Jones,Clinic,St. Joseph,12.813333333333334,-58.86055555555556,447.0,,,-
#1670,"Vance, Castillo and Glenn (st.)",CHC,St. John,12.743888888888888,-58.9475,,,,Needs upgrade
NAN,Jones-Garcia Clinic,Hospital,St. Peter,,,452.0,2017-02-22,2018-11-21, 
#1672,Bell-Fields Infirmary (christ),Health Ctr.,Christ Church,,,176.0,,2024-09-05,
1672,Bell-Fields Infirmary (christ),Health Ctr.,Christ Church,,,176.0,,2024-09-05,
01673,"Harris,-Middleton-and-Barrett Health Centre",Polyclinic,St. Andrew,13.026944444444446,-58.84861111111111,107.0,,2025-01-31,Reinspection due
01674,Collins-Huang 🏥 (St.),,St. George,-59.04509,13.18658,48.0,,2022-04-19,♥
01675,"Patel, Crane and Allen Polyclinic",Polyclinic,St. Joseph,-58.91311,13.06711,,2025-12-23,2021-04-14,Good
HF-1676,Price-Lewis Hospital (St.),,St. Peter,13.13639,-58.91085,80.0,2024-10-01,2024-07-24,Follow-up 2023
NAN,Hopkins-Thomas Clinic (St.),Hosp.,St. Lucy,12.97966,-58.8108,,2019-08-16,2020-07-08,Follow-up 2023
1678,Acosta-Atkins Hospital (St.),Hospital,St. Joseph,-58.80806,12.77407,157.0,2016-08-09,,
01679,"Torres, Carr and Lewis Medical Center (st.)",,St. Peter,13.19366,-58.72185,8.0,2022-02-20,2023-08-28,
HF-1680,Atkins Inc Hosp.,Polyclinic 🏥,St. Lucy,-59.25258,13.03149,321.0,2021-10-31,2018-02-26,Good
1681,"Garcia, Lee and Perez Medical Center",Hosp.,St. Lucy,,,324.0,2019-04-02,2025-05-01,
01682,Tate Ltd Clinic (hpesoJ),Hosp.,St. Joseph,-58.88539,13.08459,432.0,2023-06-11,,♥
01683,"Mcfarland, Solomon and Carson Health Centre",Community Health Centre,St. Joseph,13.03628,-59.29056,,,2024-06-11,
01683,"Mcfarland, Solomon and Carson Health Centre",Community Health Centre,St. Joseph,13.03628,-59.29056,,,2024-06-11,
1684,Gordon and Sons Medical Center💊,CHC,St Peter,13.055277777777778,-58.80611111111111,,2022-07-06,2023-06-23,Good
1684,Gordon and Sons Medical Center💊,CHC,St Peter,13.055277777777778,-58.80611111111111,,2022-07-06,2023-06-23,Good
01685,"Foster, Elliott and Medina Medical Center",Clinic🌡️,St. Lucy,12.84355,-59.19667,182.0,2025-10-28,,Reinspection due
01686,Pope Group Infirmary,Community Health Ctr.,St. Michael,13.22551,-59.08067,445.0,2024-01-27,, 
7AA374,"Smith, Robinson and Buchanan (St.James)",,St.James,13.27193,-59.28319,198.0,2023-05-25,2025-03-26,
1688,Tucker-Martinez Hosp. (st.),,St. James,13.00203,-58.89551,,2018-08-31,2018-10-15,Good
1688,Tucker-Martinez Hosp. (st.),,St. James,13.00203,-58.89551,,2018-08-31,2018-10-15,Good
NAN,"Morgan, Hernandez and Payne Infirmary💊",Health Centre,St. Lucy,,,246.0,,2019-03-19,Needs upgrade
1690,Perez-Baldwin Polyclinic,Clinic,St. James,13.28771,-58.73936,,2017-05-15,,
#1691,Romero-PLC Clinic,,St. James,13.14383,-58.70749,,2017-05-28,2024-09-06,Follow-up 2023
HF-1692,Rhodes-Stark,Health Ctr.,St. George,13.06763,-59.25225,142.0,2023-06-29,2018-01-13,♥
1693,"Gonzalez, Johnson and Castaneda",Hosp.,St. George,-58.75645,13.1199,169.0,,2025-08-20,-
1693,"Gonzalez, Johnson and Castaneda",Hosp.,St. George,-58.75645,13.1199,169.0,,2025-08-20,-
1694,Scott PLC Infirmary (ST.),,St. Michael,12.90958,-59.19849,,2025-01-17,2024-03-22,Reinspection due
NAN,Ford-Frazier Hosp.,Clinic🌡️,St. Lucy,,,447.0,2021-11-07,,Needs upgrade
#1696,Wells-Snyder Polyclinic,Health Centre,St. James,13.12469,-59.10197,,2021-03-26,2025-03-08,Follow-up 2023
NAN,Henry-Anderson Polyclinic💊,Polyclinic 🏥,St. Joseph,13.081388888888888,-58.80888888888889,,,2019-11-15, 
37C176,"Bishop, Ortega and Walker Infirmary (St.Andrew)",Hospital,St.Andrew,,,,2021-06-24,2018-08-17,Good
#1699,"Sutton, Wallace and Kelley Medical Center",Polyclinic 🏥,Christ Church,12.89461,-59.12661,,2023-05-29,2024-12-13, 
#1700,Leon-Robertson Hospital (St.),Community Health Centre,St. Andrew,12.751388888888888,-59.224722222222226,454.0,2018-12-02,2018-08-26,
1700,Leon-Robertson Hosp. (St.),Community Health Centre,St. Andrew,12.751388888888888,-59.224722222222226,454.0,2018-12-02,2018-08-26,
1701,Mcclain-Robinson Infirmary (ST.),Health Ctr.,St. James,13.20781,-59.10612,44.0,,2023-05-18,Needs upgrade
AB44D0,"Deleon, Morris and Blankenship Medical Center (st.)",Community Health Centre,St. James,13.18776,-58.77433,411.0,,2019-02-10,
01703,"Stewart, Smith and Macias Polyclinic",Hosp.,St. Peter,,,475.0,,2019-10-02,
NAN,"Huerta, Little and Smith Hospital",,St James,,,385.0,2024-04-17,2025-11-22,-
2373AB,Daniels-Perez Hospital (ST.),Health Centre,St. James,-59.09835,13.06911,311.0,2019-07-26,2022-01-01,-
NAN,Moore Ltd Polyclinic (ST.),CHC,St. Joseph,13.05789,-59.27014,,,,
#1707,Martin-Travis Polyclinic,Community Health Ctr.,St. James,12.856944444444444,-58.811388888888885,,2017-03-01,,
01708,Jones PLC (St),Clinic🌡️,St Joseph,,,,2022-06-04,, 
NAN,Mercado-Wallace Infirmary,,St. John,,,,2020-01-16,2020-01-20,-
NAN,Adams LLC Polyclinic (ST.),Hosp.,St. Andrew,-59.02981,13.11595,484.0,,,
HF-1711,Ashley PLC Infirmary,Polyclinic,St. George,13.24336,-59.17196,,2018-10-27,2021-09-05,Reinspection due
1712,"Davis, Garcia and Gardner",Clinic,St. Andrew,-59.07578,13.23579,141.0,2023-04-06,2022-06-07,
1713,"Rivera, Ball and Beard (St.)",Polyclinic 🏥,St. George,12.78323,-58.72556,420.0,2016-04-12,,Reinspection due
F9D85F,Bray-PLC,Health Centre,St. Lucy,13.11405,-58.80419,,2022-06-19,,
NAN,Brown LLC 🏥,Polyclinic,St. Joseph,12.887777777777778,-59.00805555555556,,2017-07-11,2022-06-26,
NAN,"Morton, Fleming and Carlson Clinic",,St.John,,,,2016-12-11,2019-05-20,♥
NAN,"Morton, Fleming and Carlson Clin.",,St.John,,,,2016-12-11,2019-05-20,♥
HF-1717,Reynolds Inc Polyclinic (St.),Health Centre,St. George,,,174.0,,2024-11-09,Reinspection due
HF-1718,"Williams, Roberts and Tran Hospital (St.)",Health Centre,St. Joseph,12.93459,-58.71119,222.0,2023-02-20,2018-07-09,♥
NAN,Campbell Inc Hosp. (st.),CHC,St. Joseph,-58.82486,12.95585,12.0,,2018-03-25,Good
NAN,Green LLC,Health Ctr.,St. Peter,,,,,, 
NAN,"Wilson, Nunez and Gardner (ST.)",Clinic,St. Michael,12.83736,-59.0885,,2017-05-30,2021-12-01,♥
NAN,Long and Sons,Hosp.,St. Andrew,,,,2018-08-01,,Reinspection due
NAN,"Kim, Cooper and Holden Polyclinic",Polyclinic,St Lucy,13.29076,-58.97446,324.0,,2021-12-22,
9EF58E,Cervantes PLC Hosp.,,St.Michael,13.015277777777778,-59.066111111111105,197.0,2018-12-22,2025-04-12,♥
NAN,Phillips-Bell Hosp.,Clinic,St Joseph,,,,2025-11-14,,
HF-1726,Chambers-Group Hosp.,Health Ctr.,Christ Church,12.96141,-59.20975,50.0,2025-10-14,2025-10-24, 
#1727,"Howard,-Powell-and-Moreno Clinic",,St Andrew,13.13572,-58.79861,55.0,2024-12-23,,
#1728,"Hamilton, Moreno and Cortez Polyclinic (CHRIST)",Hospital,Christ Church,13.231388888888889,-59.05222222222222,207.0,,2018-06-12,♥
NAN,"Horne, Keller and Scott",,St. Joseph,,,,2017-10-13,2022-08-28,Follow-up 2023
01730,Kemp-Davis,CHC,St. James,,,,,,
32D1E4,Sanchez-Walters,Hosp.,St. Michael,13.29804,-59.03821,117.0,,2021-11-06,
1732,Bradley PLC Hosp.,,St. Lucy,12.817222222222222,-59.08555555555556,395.0,2019-12-12,2024-02-08,Reinspection due
#1733,"Miller,-Moran-and-Martin Health Centre (werdnA)💊",Polyclinic,St. Andrew,-58.94768,13.02863,170.0,,,-
1733,"Miller,-Moran-and-Martin Health Centre (werdnA)💊",Polyclinic,St. Andrew,-58.94768,13.02863,170.0,,,-
1734,Clark and Sons 🏥,Polyclinic 🏥,St.James,-59.11277,13.20727,493.0,,2025-01-17,
1735,Stewart PLC Health Centre,Clinic🌡️,Christ Church,12.90696,-59.06745,,2020-06-16,2025-09-02,Good
NAN,Wilson-Yang Infirmary (ST.),,St. George,-59.03548,13.29168,,2016-08-10,2022-09-24,-
1737,Carter-Adams Polyclinic,Clinic,Christ Church,,,,2020-12-18,2021-05-13,Follow-up 2023
NAN,Rios Inc Clinic,CHC,St. George,13.114166666666666,-58.89833333333333,,2022-03-03,2022-07-12,Follow-up 2023
B4C3AB,"Warner, Poole and Garcia Health Centre",Polyclinic,St. John,12.94397,-58.94804,174.0,,,
NAN,Chapman-Klein Medical Center (St.),Clinic🌡️,St. Andrew,,,417.0,2025-10-05,2023-03-02,Follow-up 2023
#1741,Wright Inc Polyclinic (ST.),Health Centre,St. James,13.0025,-59.05638888888888,59.0,2023-09-20,2018-11-03,
NAN,Williams PLC (werdnA),Clinic,St. Andrew,,,341.0,2024-01-02,2021-09-22,
NAN,Hughes-Davidson Hospital,,St. Joseph,12.75822,-58.88221,15.0,2024-10-07,,
NAN,Turner-PLC (egroeG),Health Centre,St. George,-58.97563,12.99077,377.0,2021-04-01,2025-11-26,Good
NAN,Hernandez-and-Sons Medical Center,Polyclinic,St. Lucy,,,72.0,,2025-11-03, 
#1746,Smith-Santos Hospital,Hospital,St. John,12.789444444444444,-59.143055555555556,452.0,2024-06-05,2023-05-23, 
HF-1747,"Johns, Allen and Woods Hospital (St.)",,St. James,12.902777777777779,-59.12972222222222,102.0,2021-03-29,2024-09-02, 
1748,Alvarez PLC Clinic,Health Centre,St. Michael,12.89848,-59.29273,246.0,2016-08-11,2020-04-01,Follow-up 2023
2FAF3C,"Rodriguez, Hanson and Franklin Clinic",Health Ctr.,St. Andrew,12.73017,-58.78261,25.0,,,
1750,"Chambers, Robinson and Hall Infirmary",Hosp.,St. John,-59.26168,13.23198,407.0,2024-11-29,,
NAN,Williams-Inc (St.),Community Health Centre,St. Michael,,,113.0,2024-10-24,2019-06-27, 
NAN,Andrews-Anthony Health Centre,CHC,St. Joseph,13.057777777777778,-59.10888888888889,304.0,2024-07-23,2020-06-02,-
EDD679,Nunez-Benson 🏥,Community Health Ctr.,St. Michael,12.712777777777777,-59.236666666666665,122.0,2024-05-31,2019-05-20,
HF-1754,"Sandoval, Rice and Kim Health Centre (ST.)",Health Centre,St. George,-59.06947,12.89891,168.0,2017-09-24,2018-12-19,Follow-up 2023
HF-1755,Bush and Sons Clinic (st.),Community Health Centre,St. Joseph,,,,2021-06-08,2020-03-07, 
HF-1755,Bush and Sons Clin. (st.),Community Health Centre,St. Joseph,,,,2021-06-08,2020-03-07, 
E2A7E0,Guerrero-Smith Polyclinic,Health Centre,St. Joseph,13.10945,-59.04976,,,,♥
NAN,Miles Ltd Clinic,,St. Lucy,,,,2020-09-27,,♥
548BD0,"Butler, Richardson and Garner Hosp. (st.)",Hosp.,St. James,13.03809,-58.96872,,2016-03-08,2018-05-22,
1759,"Ochoa, Torres and Harris Health Centre",,St Michael,12.80165,-58.95759,226.0,,2018-08-29,
1760,"Mills,-Simmons-and-Fox Hospital (St.Joseph)",Clinic,St.Joseph,,,,,,
#1761,"Thompson, Dalton and Clark Hosp.",,Nhoj .Ts,13.099444444444446,-58.82361111111111,35.0,2017-08-22,2020-04-03,
NAN,"Perry LLC Health Centre
NewLine",Polyclinic,St. Lucy,12.70143,-58.78098,360.0,2017-04-17,2023-11-19,♥
HF-1763,"Henderson, Scott and Hogan (St.)",,St. George,12.7875,-59.05444444444444,,,,-
NAN,Huang-Group 🏥,Polyclinic,St. Lucy,12.94102,-58.73731,,2020-06-18,2021-09-24,
NAN,Huang-Group 🏥,Polyclinic,St. Lucy,12.94102,-58.73731,,2020-06-18,2021-09-24,
01765,Hall-Blankenship Hosp. (ST.),Health Ctr.,St. Lucy,,,,2019-06-28,,♥
HF-1766,Lewis Group 🏥,Hosp.,Nhoj .Ts,-58.87592,12.99516,484.0,2016-06-16,2018-12-28,
E1089A,Gonzalez PLC,Polyclinic 🏥,St Peter,13.23976,-59.16082,435.0,2021-10-01,2021-11-28,Follow-up 2023
NAN,Martinez Group,,Christ Church,13.007222222222222,-58.99638888888889,448.0,2019-11-18,, 
HF-1769,Bailey-Oconnor Hosp.,Hospital,St.Lucy,13.135,-58.705000000000005,69.0,2020-03-16,2024-07-21,-
HF-1769,Bailey-Oconnor Hosp.,Hospital,St.Lucy,13.135,-58.705000000000005,69.0,2020-03-16,2024-07-21,-
NAN,Coleman-Ortiz Hosp.,Polyclinic 🏥,St. John,13.298055555555555,-58.88527777777778,,2017-10-09,,Needs upgrade
7E984F,"Schaefer, Price and Green Medical Center",Community Health Centre,St. John,13.121666666666668,-58.82166666666667,231.0,2019-07-17,, 
01772,Mcclain PLC Polyclinic,Community Health Centre,Christchurch,,,7.0,2016-10-20,2022-10-25,♥
NAN,Ross-Erickson Clinic (St.Lucy),Clinic🌡️,St.Lucy,,,,2022-08-12,,Reinspection due
#1774,Brewer-PLC Infirmary,CHC,St. Peter,,,,,,♥
NAN,"Hill PLC 🏥
NewLine",Polyclinic 🏥,St. John,12.70083,-59.14353,76.0,2024-03-03,2020-04-15,-
HF-1776,Sexton Ltd Polyclinic,Health Ctr.,St Lucy,,,371.0,,2023-12-22, 
HF-1776,Sexton Ltd Polyclinic,Health Ctr.,St Lucy,,,371.0,,2023-12-22, 
NAN,Atkinson-Charles Hospital✨,Hosp.,St.Lucy,13.15935,-59.24133,375.0,,2025-03-20,-
NAN,Atkinson-Charles Hosp.✨,Hosp.,St.Lucy,13.15935,-59.24133,375.0,,2025-03-20,-
NAN,"Miller, Davis and Carrillo Infirmary (reteP)",Health Centre,St. Peter,,,36.0,2016-11-15,2021-07-09,
HF-1779,"Ramos, Patterson and Jones Hosp. (CHRIST)",Hospital,Christ Church,12.834166666666667,-58.77055555555555,3.0,,,Reinspection due
HF-1780,Boyle-Ltd Hosp.,Clinic🌡️,St. Lucy,13.05443,-58.72317,,2023-08-05,,-
01781,Lopez-Mathis Hospital,Clinic,St. Lucy,-59.16964,12.92122,335.0,2024-10-18,2021-08-24,Follow-up 2023
NAN,Burns Ltd 🏥,Hosp.,St John,12.883333333333333,-58.709722222222226,179.0,2022-03-21,2025-10-27,Good
HF-1783,Ballard-Watson Infirmary (St.Lucy),CHC,St.Lucy,13.08647,-58.71275,173.0,,,
HF-1784,Weaver Inc,Health Centre,St. Peter,13.01591,-58.90838,93.0,,2022-08-31,-
NAN,Romero-LLC Polyclinic (ST.),Polyclinic,St. John,13.226666666666667,-58.83277777777778,393.0,2019-10-05,2025-04-20,Needs upgrade
NAN,Valdez-Luna,Polyclinic,St Michael,,,,,2018-04-05,Reinspection due
01787,Palmer-Inc Hosp.,Polyclinic,St. Andrew,-58.88629,13.13662,374.0,2022-12-28,2019-10-27,♥
#1788,Scott Inc Hosp.,CHC,St. Michael,-59.20665,13.03512,400.0,2023-07-10,2019-07-05,
1788,Scott Inc Hosp.,CHC,St. Michael,-59.20665,13.03512,400.0,2023-07-10,2019-07-05,
521635,Ingram-Robbins Medical Center,Clinic,St George,12.89974,-58.78061,409.0,,2022-10-29,Reinspection due
#1790,Mullins-Garcia Hospital (ST.),Polyclinic,St. Michael,-59.15534,13.21251,,,2021-01-01,
01791,"Reed, Patterson and Reynolds 🏥 (ST.)",Community Health Ctr.,St. Peter,12.81492,-58.99258,,,,♥
HF-1792,"Carter, Woodard and Jones Polyclinic",,St. Lucy,13.13852,-58.83086,,2025-06-27,,-
01793,"Gonzalez, Blevins and Munoz Hospital (ChristChurch)",Polyclinic 🏥,Christchurch,-59.01582,13.10882,167.0,,2019-11-07,♥
1794,Romero-Taylor Infirmary,Hospital,St. Michael,12.904444444444445,-59.07527777777778,73.0,,2022-12-11,Follow-up 2023
BCC3E5,Hudson-Parker 🏥 (St.Peter),Polyclinic 🏥,St.Peter,13.09319,-59.03701,,2019-09-10,, 
BCC3E5,Hudson-Parker 🏥 (St.Peter),Polyclinic 🏥,St.Peter,13.09319,-59.03701,,2019-09-10,, 
#1796,Cruz Ltd Polyclinic,Health Ctr.,St. Andrew,13.23006,-58.9093,281.0,2023-03-19,2024-05-08,Good
#1797,Cox Group Clinic,Community Health Ctr.,St. James,-59.03187,12.72945,48.0,2025-02-18,2025-04-12,Good
#1798,"Graham, Bishop and Rhodes Clinic",Hosp.,St. Lucy,12.776944444444446,-59.111666666666665,,2019-07-23,2018-01-04,♥
1799,"James-Edwards
NewLine",Clinic,St. Joseph,,,,,,♥
NAN,"Evans, Smith and Cox (CHRIST)",,Christ Church,,,,2022-07-16,2023-04-23,♥
HF-1801,Lewis PLC Medical Center,Community Health Centre,St. Lucy,,,,,2022-05-27,Good
HF-1801,Lewis PLC Medical Center,Community Health Centre,St. Lucy,,,,,2022-05-27,Good
01802,Deleon-Porter Hosp. (ST.),,St. James,12.82,-58.86,214.0,2025-02-10,2020-08-18,
NAN,"Bush, Alexander and Moreno Hospital✨",Clinic🌡️,Christchurch,,,259.0,2017-02-15,,♥
NAN,Burns-Yang Health Centre,Hospital,St. Michael,-58.87679,13.23674,428.0,,2021-01-04,Reinspection due
NAN,Johnson-Webb Hosp.,Health Ctr.,St. Peter,,,,2020-03-06,,Follow-up 2023
NAN,"Dennis, Bradley and Delacruz Infirmary",Clinic,St. John,,,,,2020-11-10,Good
HF-1807,"Curtis, Schneider and Juarez Health Centre",CHC,Christ Church,,,299.0,2016-09-24,2024-06-25,Needs upgrade
NAN,"Alexander, Gomez and Evans",Hosp.,Christ Church,,,344.0,,,
1809,Brown and Sons Medical Center,Polyclinic 🏥,St. Lucy,12.981666666666667,-59.28111111111111,337.0,2020-07-02,2018-10-14,Needs upgrade
C1B9C7,Moore Group Clinic,Health Ctr.,St. Michael,,,,,2021-04-30,-
HF-1811,Meza-Thomas (reteP),Community Health Centre,St. Peter,13.26523,-58.76656,13.0,,2021-03-18,Needs upgrade
76A225,Brown-Ryan Medical Center (st.),Health Ctr.,St. James,13.2254,-58.79809,118.0,,2023-12-28,
NAN,"Reed, Blevins and Jefferson",Community Health Ctr.,St. Michael,,,91.0,2023-01-28,2020-08-04,♥
HF-1814,"Griffin, Mccormick and May (St.)",Hospital,St. Michael,,,120.0,2024-09-26,2018-05-03,♥
#1815,House Ltd,Community Health Ctr.,St. James,,,376.0,2020-12-31,2019-08-18,Good
#1815,House Ltd,Community Health Ctr.,St. James,,,376.0,2020-12-31,2019-08-18,Good
#1816,"Stewart, Perry and Adkins Polyclinic",Polyclinic 🏥,St.Joseph,,,273.0,2020-12-29,, 
NAN,Elliott-Olson Polyclinic,Clinic🌡️,St. Andrew,12.7325,-58.757222222222225,,,2025-09-04,
1818,"Shelton-PLC Hospital
NewLine",Health Ctr.,St. Michael,,,51.0,2025-01-22,2024-01-04,Needs upgrade
#1819,Williams Ltd Clinic (St.),Hospital,St. James,,,152.0,,2025-05-01,
1819,Williams Ltd Clinic (St.),Hospital,St. James,,,152.0,,2025-05-01,
NAN,Pearson-and-Sons Polyclinic💊,Health Ctr.,St. Peter,,,,2022-06-21,2021-11-28,
NAN,"Jones, Peters and Suarez",Hosp.,Christchurch,13.21358,-59.02086,,2021-01-19,, 
NAN,"Payne, Chambers and Ward Health Centre",,St. John,13.22791,-58.82129,,2016-05-04,2022-11-21,
#1823,Sherman LLC (st.),CHC,St. George,,,,,2025-11-01,Follow-up 2023
NAN,Cherry PLC Polyclinic (ChristChurch),Health Ctr.,Christchurch,,,35.0,2025-02-17,2023-10-31,Follow-up 2023
7B502B,"Mccoy,-Vazquez-and-Matthews Clinic",Community Health Centre,Christ Church,,,27.0,2023-09-22,,
HF-1826,West-Clark 🏥,Clinic,St. Lucy,12.70037,-58.76091,419.0,2017-04-01,2020-01-18, 
1827,Perez Ltd,Health Ctr.,St. Peter,,,,2024-03-16,2025-08-29,♥
01828,Burch and Sons Infirmary (St.John),Community Health Ctr.,St.John,12.88618,-58.93947,,2023-04-26,,Good
NAN,Roman-Gentry Hosp. (St.),Community Health Centre,St. Lucy,,,,,,
NAN,"Hernandez, Thomas and Sanchez Infirmary",,St. James,,,,,,Good
NAN,"Cline, Williams and Maxwell Health Centre (CHRIST)",Community Health Ctr.,Christ Church,13.02295,-58.81373,344.0,,2019-08-10, 
NAN,"Bradford, Hughes and Holmes Polyclinic",CHC,St. George,12.95188,-58.76961,,,2023-02-05,
01833,Franklin-Martinez,Hospital,St Michael,-58.83083,12.77991,326.0,2019-03-03,2022-08-12,Good
5FD988,Yates-Richmond Medical Center💊,,St. Joseph,13.21773,-59.26823,265.0,2019-05-23,2018-01-11,
NAN,Hill LLC Hospital (st.),Polyclinic 🏥,St. James,12.99293,-59.02224,,2017-09-20,2019-11-04,
NAN,Hill LLC Hosp. (st.),Polyclinic 🏥,St. James,12.99293,-59.02224,,2017-09-20,2019-11-04,
NAN,Martin-Goodman,CHC,St. James,,,,,2020-07-27,-
NAN,Brown-Wood Health Centre,Polyclinic 🏥,St. John,12.9094,-59.08116,108.0,2017-01-04,2020-11-09,Reinspection due
NAN,"Carlson,-Stokes-and-Reese 🏥 (St.)",Polyclinic,St. Peter,13.19233,-59.05098,151.0,,2018-12-05,♥
1839,Martin-Brown Infirmary,Clinic,Christ Church,,,493.0,2023-01-23,2021-02-03,Needs upgrade
NAN,Cooke-Pearson Health Centre,Hosp.,St. Andrew,13.154,-58.74743,239.0,,2020-07-10,Follow-up 2023
HF-1841,Howell-Castaneda Clinic✨,Clinic🌡️,St.George,-58.8167,13.18788,150.0,2018-05-15,2024-04-07,Reinspection due
#1842,"Green,-Osborne-and-Stuart Infirmary💊",Health Centre,St.Andrew,,,233.0,,,
752201,Stuart LLC Hosp.,CHC,St George,13.18397,-58.86312,,2025-04-26,2020-06-24,♥
NAN,Johnson-LLC Polyclinic (St.),Clinic🌡️,St. George,-58.87875,12.79643,,2023-09-30,2019-03-21,-
NAN,Crawford-Vazquez Polyclinic,Clinic,St. Andrew,,,,2025-06-25,2021-10-06,-
#1846,Mccarthy-Inc Hosp. (ChristChurch),Polyclinic,Christchurch,13.10749,-59.07338,403.0,,2018-06-28,Reinspection due
01847,Scott-Williams Hosp.,Hosp.,Christ Church,12.71079,-59.09271,,2024-03-09,2019-03-31,Needs upgrade
HF-1848,Hood-Marks Health Centre,Community Health Ctr.,St. Michael,12.90126,-59.05612,,2016-12-01,2021-07-06,Needs upgrade
1849,Schwartz Ltd Infirmary,Health Ctr.,St. Joseph,13.12487,-59.06576,123.0,,,Follow-up 2023
#1850,Higgins LLC 🏥 (ST.),Community Health Ctr.,St. James,13.271944444444445,-58.91222222222222,203.0,2023-02-15,2021-03-08,Good
#1851,"Mcgee,-Flores-and-Curry (christ)",Hospital,Christ Church,,,132.0,2019-03-06,2025-10-10,♥
#1852,Meadows Group,Hospital,St. James,-58.98557,13.10462,,,2019-06-26, 
1853,"Lee, Hopkins and Daniels Medical Center",Community Health Centre,St. John,12.785833333333333,-59.15083333333333,312.0,,,
01854,Wright-Ltd Polyclinic,,St.James,12.95719,-58.80495,300.0,2016-11-19,2021-12-07,Good
01855,"Reynolds, White and Fernandez Hosp. (ST.)",Health Centre,St. John,,,465.0,,2018-09-17,Follow-up 2023
NAN,Larson-Group (St.),CHC,St. Peter,13.09244,-59.11781,,2022-01-23,2021-08-20,Good
#1857,Smith-Wood 🏥,Clinic🌡️,St. Andrew,13.11363,-59.29959,270.0,2017-05-15,2023-06-24,Follow-up 2023
HF-1858,"Phillips, Payne and Nelson Polyclinic",Health Centre,St. Joseph,,,,,,♥
#1859,"Smith,-Davis-and-Williams 🏥",,St. James,12.96544,-58.74993,242.0,2019-12-14,,♥
1859,"Smith,-Davis-and-Williams 🏥",,St. James,12.96544,-58.74993,242.0,2019-12-14,,♥
95DF9F,Erickson Inc 🏥,Health Centre,St. Lucy,,,447.0,2025-12-22,2022-03-12,Reinspection due
1861,Moses-Williams (St.Andrew),Community Health Ctr.,St.Andrew,13.0433,-58.99257,250.0,2023-03-12,,
01862,Cruz PLC Hospital,,St James,-58.92838,13.205,461.0,2023-12-28,2019-07-12,Good
NAN,Carter LLC (St.Lucy)©,Hosp.,St.Lucy,13.087777777777779,-58.85416666666667,,,2021-02-24,♥
F84A2A,Freeman-Gomez,,St. George,12.860555555555555,-58.849444444444444,39.0,2021-12-16,2024-12-17,♥
#1865,"Delgado, Perry and Torres Infirmary (st.)",Polyclinic 🏥,St. Joseph,,,84.0,2017-08-31,,♥
